,chords
10794,"['C', 'Amin', 'F', 'C', 'Amin', 'F', 'C', 'Amin', 'F', 'G', 'C', 'G', 'Amin', 'F', 'G', 'C', 'Amin', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'F', 'C', 'Csus2', 'G', 'C', 'F', 'C', 'Csus2', 'G', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'F', 'Amin7', 'F', 'Dmin', 'Gsus4', 'C', 'F', 'C', 'F', 'Amin7', 'F', 'Dmin', 'Gsus4', 'C']"
11295,"['G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'Amin', 'D', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Amin', 'D', 'G', 'Amin', 'D', 'G', 'Amin', 'D', 'G', 'Amin', 'D', 'G', 'D7', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'Amin', 'D', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'D', 'D7', 'G']"
15894,"['Amin', 'F', 'G', 'Dmin', 'Amin', 'F', 'G', 'Dmin', 'Amin', 'C', 'G', 'Dmin', 'Amin', 'C', 'G', 'E', 'Amin', 'C', 'G', 'Amin', 'E', 'Amin', 'Dmin', 'F', 'G', 'Amin', 'Dmin', 'F', 'G', 'Amin', 'Dmin', 'C', 'G', 'Amin', 'Dmin', 'G', 'Amin', 'F', 'Amin', 'F', 'E', 'Amin', 'Dmin', 'F', 'G', 'Amin', 'Dmin', 'F', 'G', 'Amin', 'Dmin', 'C', 'G', 'Amin', 'Dmin', 'G', 'Amin', 'F', 'Dmin', 'Amin', 'E', 'Dmin', 'E7', 'Amin', 'Dmin', 'F', 'G', 'C', 'G', 'Amin', 'Dmin', 'C', 'G', 'Amin', 'Dmin', 'E']"
16233,"['Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7', 'Dsus2', 'Amin', 'Cmaj7']"
18801,"['Dmin', 'E7', 'Amin', 'E', 'C', 'Fsdim7', 'Dmin', 'E7', 'Amin', 'E', 'C', 'Fsdim7', 'Dmin', 'E7', 'Amin', 'Dmin', 'G7', 'C', 'Gadd13', 'Amin', 'Dmin', 'E7sus4', 'Amin', 'Dmin', 'G7', 'C', 'Fmaj7', 'Dmin', 'E7sus4', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'E', 'C', 'Fsdim7', 'Dmin', 'E7sus4', 'Amin', 'Bmin', 'Fs', 'D', 'Gsdim7', 'Emin', 'Fs7', 'Bmin', 'Emin', 'A7', 'D', 'Aadd13', 'Bmin', 'Emin', 'Fs7sus4', 'Bmin', 'Emin', 'A7', 'D', 'Gmaj7', 'Emin', 'Fs7sus4', 'Fs7', 'Bmin', 'Emin', 'Bmin', 'Emin', 'Bmin']"
19736,"['C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'G', 'Dsus4', 'A7sus4', 'Emin7', 'G', 'Dsus4', 'A7sus4', 'Emin7', 'G', 'Dsus4', 'A7sus4', 'Emin7', 'G', 'Dsus4', 'A7sus4', 'Cadd9', 'Dsus4', 'Emin7', 'Cadd9', 'Dsus4', 'Emin7', 'Cadd9', 'Dsus4', 'G', 'Dsus4', 'Emin7', 'Dsus4', 'A7sus4', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus4', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'Cadd9', 'Emin7', 'G', 'Emin7', 'Cadd9', 'Emin7', 'G', 'Emin7', 'Cadd9', 'Emin7', 'G', 'Emin7', 'Cadd9', 'Emin7', 'G', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'G', 'Dsus4', 'A7sus4', 'Emin7', 'G', 'Dsus4', 'A7sus4', 'Emin7', 'G', 'Dsus4', 'A7sus4', 'Emin7', 'G', 'Dsus4', 'A7sus4', 'Cadd9', 'Dsus4', 'Emin7', 'Cadd9', 'Dsus4', 'Emin7', 'Cadd9', 'Dsus4', 'G', 'Dsus4', 'Emin7', 'Dsus4', 'A7sus4', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'C9', 'Gadd13', 'Dsus4', 'Cadd9', 'Emin7', 'G', 'Emin7', 'Cadd9', 'Emin7', 'G', 'Emin7', 'Cadd9', 'Emin7', 'G', 'Emin7', 'Cadd9', 'Emin7', 'G', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus4', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7', 'C9', 'Gadd13', 'Dsus2', 'Emin7']"
19908,"['Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin', 'Gmaj7', 'Fsmin', 'Bmin', 'Gmaj7', 'Fsmin', 'Bmin', 'Gmaj7', 'Fsmin', 'Bmin', 'A', 'Gmaj7', 'D', 'A', 'Gmaj7', 'Bmin', 'A', 'Gmaj7', 'D', 'A', 'Cmaj7', 'G', 'Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin', 'Emin', 'Gmaj7', 'Fsmin', 'Bmin', 'Gmaj7', 'Fsmin', 'Bmin', 'Gmaj7', 'Fsmin', 'Bmin', 'A', 'Gmaj7', 'D', 'A', 'Gmaj7', 'Bmin', 'A', 'Gmaj7', 'D', 'A', 'Cmaj7', 'G', 'Emin', 'A', 'Bmin', 'Emin', 'Gmaj7', 'Fsmin', 'Bmin', 'Gmaj7', 'Fsmin', 'Bmin', 'Gmaj7', 'Fsmin', 'Bmin', 'A', 'Gmaj7', 'D', 'A', 'Gmaj7', 'Bmin', 'A', 'Gmaj7', 'D', 'A', 'Cmaj7', 'G', 'Gmaj7', 'D', 'A', 'Gmaj7', 'D', 'Bmin', 'Gmaj7', 'D', 'A', 'Cmaj7', 'G', 'Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin', 'Emin', 'A', 'Bmin']"
20410,"['G', 'Emin', 'G', 'Emin', 'C', 'D', 'G', 'Emin', 'G', 'Emin', 'C', 'D', 'G', 'Emin', 'G', 'Emin', 'G', 'Emin', 'C', 'D', 'G', 'Emin', 'G', 'Emin', 'C', 'D', 'G', 'Emin', 'C', 'D', 'G', 'Emin', 'G', 'Emin', 'G', 'Emin', 'C', 'D', 'G', 'Emin', 'G']"
20423,"['G', 'C', 'D', 'Bmin', 'Emin', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'Bmin', 'Emin', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G']"
20424,"['Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'B', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Cmin', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F', 'Bb', 'Gmin', 'Eb', 'Bb', 'F']"
